,min,avg,max,mdev
PLANETLAB2.UTDALLAS.EDU,40.727,40.866,41.887,0.349
,,,,
PLANETLAB2.UTDALLAS.EDU,40.727,40.893,41.73,0.302
,,,,
PLANETLAB2.UTDALLAS.EDU,40.723,40.921,42.005,0.464
,,,,
PLANETLAB2.UTDALLAS.EDU,40.729,41.068,43.222,0.706
,,,,
PLANETLAB2.UTDALLAS.EDU,40.745,40.845,41.332,0.165
,,,,
PLANETLAB2.UTDALLAS.EDU,41.065,41.246,42.225,0.358
,,,,
PLANETLAB2.UTDALLAS.EDU,40.731,40.863,41.758,0.353
,,,,
PLANETLAB2.UTDALLAS.EDU,40.745,42.15,47.147,1.63
,,,,
PLANETLAB2.UTDALLAS.EDU,40.743,40.942,41.711,0.392
,,,,
PLANETLAB2.UTDALLAS.EDU,40.768,41.439,43.413,0.891
,,,,
PLANETLAB2.UTDALLAS.EDU,40.787,41.355,42.751,0.53
,,,,
PLANETLAB2.UTDALLAS.EDU,40.748,41.326,42.844,0.538
,,,,
PLANETLAB2.UTDALLAS.EDU,40.733,41.015,43,0.586
,,,,
PLANETLAB2.UTDALLAS.EDU,40.767,41.555,43.248,0.987
,,,,
PLANETLAB2.UTDALLAS.EDU,40.778,41.459,43.849,0.938
,,,,
PLANETLAB2.UTDALLAS.EDU,40.758,40.911,41.484,0.247
,,,,
PLANETLAB2.UTDALLAS.EDU,40.766,41.059,43.007,0.628
,,,,
PLANETLAB2.UTDALLAS.EDU,40.75,41.147,43.215,0.684
,,,,
PLANETLAB2.UTDALLAS.EDU,40.747,41.158,43.454,0.832
,,,,
PLANETLAB2.UTDALLAS.EDU,40.767,41.193,42.744,0.636
,,,,
PLANETLAB2.UTDALLAS.EDU,40.774,41.143,42.979,0.62
,,,,
PLANETLAB2.UTDALLAS.EDU,40.764,40.987,42.686,0.543
,,,,
PLANETLAB2.UTDALLAS.EDU,40.748,40.88,41.34,0.193
,,,,
PLANETLAB2.UTDALLAS.EDU,40.784,41.054,42.122,0.448
,,,,
PLANETLAB2.UTDALLAS.EDU,40.762,41.089,42.822,0.607
,,,,
PLANETLAB2.UTDALLAS.EDU,40.756,40.976,42.424,0.394
,,,,
,40.52490347,40.71349421,40.71349421,0.366482625
