Node name,1st Packet ms,2nd Packet ms,3rd Packet ms
PLANETLAB1.CS.PURDUE.edu,3,0.554,*,*

PLANETLAB1.CS.PURDUE.edu,1,3.446,*,*

PLANETLAB1.CS.PURDUE.edu,3,0.581,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,4.879,*,*

PLANETLAB1.CS.PURDUE.edu,1,3.681,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,4.414,*,*

PLANETLAB1.CS.PURDUE.edu,3,0.575,*,*

PLANETLAB1.CS.PURDUE.edu,1,3.419,*,*

PLANETLAB1.CS.PURDUE.edu,1,3.675,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,5.650,*,*

PLANETLAB1.CS.PURDUE.edu,1,*,*,*
PLANETLAB1.CS.PURDUE.edu,1,4.396,*,*

